,Interval_start,Interval_end,ref_bpm,est_ibi
0,1530819990.0,1530819994.98,67.16417910447761,-0.7653563838314288
1,1530819995.0,1530819999.98,52.17391304347826,0.047338706720077915
2,1530820000.0,1530820004.98,48.257372654155496,0.3428641941933529
3,1530820005.0,1530820009.98,42.654028436018955,0.860033797271585
4,1530820010.0,1530820014.98,51.06382978723404,0.12649731943613376
5,1530820015.0,1530820019.98,81.26410835214446,-1.2561397826709753
6,1530820020.0,1530820024.98,77.92207792207792,-1.1558722065639713
7,1530820025.0,1530820029.98,56.737588652482266,-0.24554816032932877
8,1530820030.0,1530820034.98,69.44444444444444,-0.8582358227516012
9,1530820035.0,1530820039.98,81.08108108108108,-1.2508625418232382
10,1530820040.0,1530820044.98,58.67970660146699,-0.35637021813180697
11,1530820045.0,1530820049.98,62.893081761006286,-0.5732648169738
12,1530820050.0,1530820054.98,54.87804878048781,-0.13208748210298227
13,1530820055.0,1530820059.98,60.45340050377834,-0.451360553391074
14,1530820060.0,1530820064.98,55.29953917050691,-0.15847368634166734
15,1530820065.0,1530820069.98,65.21739130434783,-0.680920530267636
16,1530820070.0,1530820074.98,46.997389033942554,0.4484090111480945
17,1530820075.0,1530820079.98,60.402684563758385,-0.44872193296720536
18,1530820080.0,1530820084.98,67.98866855524079,-0.7996584493417198
19,1530820085.0,1530820089.98,31.83023872679045,2.3746019205721205
20,1530820090.0,1530820094.98,44.554455445544555,0.670053126753051
21,1530820095.0,1530820099.98,40.816326530612244,1.060568949485593
22,1530820100.0,1530820104.98,66.42066420664206,-0.7336929387450065
23,1530820105.0,1530820109.98,76.19047619047619,-1.100461177662732
24,1530820110.0,1530820114.98,64.51612903225806,-0.6492570851812137
25,1530820115.0,1530820119.98,91.74311926605505,-1.5231681695664705
26,1530820120.0,1530820124.98,59.701492537313435,-0.4117812470330461
27,1530820125.0,1530820129.98,40.449438202247194,1.1027868762674893
28,1530820130.0,1530820134.98,85.40925266903915,-1.369600460897322
29,1530820135.0,1530820139.98,53.57142857142857,-0.04765162853918912
30,1530820140.0,1530820144.98,50.991501416430594,0.13177456028387108
31,1530820145.0,1530820149.98,45.56962025316455,0.5750627914937839
32,1530820150.0,1530820154.98,52.863436123348016,-0.00015646090955560244
33,1530820155.0,1530820159.98,55.55555555555556,-0.1743054088848785
34,1530820160.0,1530820164.98,39.473684210526315,1.2188861749177047
35,1530820165.0,1530820169.98,77.92207792207792,-1.1558722065639713
36,1530820170.0,1530820174.98,31.914893617021278,2.358770198028909
37,1530820175.0,1530820179.98,55.900621118012424,-0.19541437227582698
38,1530820180.0,1530820184.98,40.0,1.15555928474486
39,1530820185.0,1530820189.98,78.3289817232376,-1.1685375845985402
40,1530820190.0,1530820194.98,61.855670103092784,-0.5226033048355243
41,1530820195.0,1530820199.98,50.2092050209205,0.18982420960897847
42,1530820200.0,1530820204.98,64.51612903225806,-0.6492570851812137
43,1530820205.0,1530820209.98,74.76635514018692,-1.0529660100330986
44,1530820210.0,1530820214.98,56.78233438485804,-0.24818678075319706
45,1530820215.0,1530820219.98,57.324840764331206,-0.27985022583961944
46,1530820220.0,1530820224.98,65.93406593406593,-0.7125839753540584
47,1530820225.0,1530820229.98,76.72634271099744,-1.1178760724602643
48,1530820230.0,1530820234.98,56.33802816901409,-0.22180057651451202
49,1530820235.0,1530820239.98,76.6773162939297,-1.1162929002059432
50,1530820240.0,1530820244.98,68.80733944954129,-0.8329050666824632
51,1530820245.0,1530820249.98,81.08108108108108,-1.2508625418232382
52,1530820250.0,1530820254.98,49.31506849315068,0.25842834062956044
53,1530820255.0,1530820259.98,41.95804195804196,0.9339151691399036
54,1530820260.0,1530820264.98,82.1917808219178,-1.2825259869096606
55,1530820265.0,1530820269.98,68.64988558352402,-0.8265723776651788
56,1530820270.0,1530820274.98,49.86149584487535,0.2162104138476635
57,1530820275.0,1530820279.98,64.1025641025641,-0.6302590181293602
58,1530820280.0,1530820284.98,36.809815950920246,1.5671840708683504
59,1530820285.0,1530820289.98,42.25352112676056,0.9022517240534812
60,1530820290.0,1530820294.98,41.522491349480966,0.9814103367695372
61,1530820295.0,1530820299.98,39.735099337748345,1.1872227298312823
62,1530820300.0,1530820304.98,100.0,-1.694150773033151
63,1530820305.0,1530820309.98,35.294117647058826,1.7888281864733069
64,1530820310.0,1530820314.98,62.17616580310881,-0.5384350273787355
65,1530820315.0,1530820319.98,45.627376425855516,0.5697855506460466
66,1530820320.0,1530820324.98,62.76150627615063,-0.5669321279565156
67,1530820325.0,1530820329.98,47.745358090185675,0.38508212097524985
68,1530820330.0,1530820334.98,57.971014492753625,-0.31679091177377905
69,1530820335.0,1530820339.98,54.54545454545455,-0.1109785187120338
70,1530820340.0,1530820344.98,67.72009029345372,-0.788576243561472
71,1530820345.0,1530820349.98,52.02312138728324,0.05789318841555179
72,1530820350.0,1530820354.98,54.794520547945204,-0.12681024125524498
73,1530820355.0,1530820359.98,64.51612903225806,-0.6492570851812137
74,1530820360.0,1530820364.98,51.502145922746784,0.09483387434971144
75,1530820365.0,1530820369.98,49.896049896049895,0.21357179342379523
76,1530820370.0,1530820374.98,51.724137931034484,0.07900215180650026
77,1530820375.0,1530820379.98,29.850746268656717,2.7703949841523996
78,1530820380.0,1530820384.98,76.43312101910828,-1.1083770389343377
79,1530820385.0,1530820389.98,38.70967741935484,1.3138765101769718
80,1530820390.0,1530820394.98,51.873198847262245,0.06844767011102638
81,1530820395.0,1530820399.98,49.18032786885246,0.26898282232503434
82,1530820400.0,1530820404.98,39.91130820399113,1.1661137664403338
