,Interval_start,Interval_end,est_ibi,ref_bpm
0,1566565843.0,1566565858.562,0.7493975903614456,41.37931034482759
1,1566565858.625,1566565874.188,0.2864792503346721,66.9767441860465
2,1566565874.25,1566565889.812,0.37535857716580606,59.8663697104677
3,1566565889.875,1566565905.438,0.33433734939759036,62.950819672131146
4,1566565905.5,1566565921.062,0.33868808567603753,62.608695652173914
5,1566565921.125,1566565936.688,0.19801427933958055,75.95604395604396
6,1566565936.75,1566565952.312,0.17771084337349402,78.36734693877551
7,1566565952.375,1566565967.938,0.3543507362784471,61.40724946695096
8,1566565968.0,1566565983.562,0.18526738533079684,77.45222929936305
9,1566565983.625,1566565999.188,0.28702309236947793,66.9281045751634
10,1566565999.25,1566566014.812,0.14601262191623637,82.45398773006134
11,1566566014.875,1566566030.438,0.34216867469879514,62.33766233766234
12,1566566030.5,1566566046.062,0.23717090584560457,71.70124481327801
13,1566566046.125,1566566061.688,0.2337585636664305,72.05298013245033
14,1566566061.75,1566566077.312,0.6748813435560421,44.09185803757829
15,1566566077.375,1566566092.938,0.3995983935742971,58.18181818181818
16,1566566093.0,1566566108.562,0.24604299551145753,70.80260303687636
17,1566566108.625,1566566124.188,0.17427605157471998,78.79049676025917
18,1566566124.25,1566566139.812,0.38393574297188754,59.25925925925926
19,1566566139.875,1566566155.438,0.27951807228915665,67.6056338028169
20,1566566155.5,1566566171.062,0.3163905622489959,64.40251572327044
21,1566566171.125,1566566186.688,0.07159071066876205,93.95744680851064
22,1566566186.75,1566566202.312,0.22411869701026327,73.06553911205074
23,1566566202.375,1566566217.938,0.0,108.52173913043478
24,1566566218.0,1566566233.562,0.28702309236947793,66.9281045751634
25,1566566233.625,1566566249.188,0.6511500547645126,45.0319829424307
26,1566566249.25,1566566264.812,0.30007530120481923,65.78158458244111
27,1566566264.875,1566566280.438,0.5301204819277108,50.526315789473685
28,1566566280.5,1566566296.062,0.8578759482373939,37.97802197802198
29,1566566296.125,1566566311.688,0.4397590361445783,55.5902004454343
30,1566566311.75,1566566327.312,0.6502008032128512,45.070422535211264
31,1566566327.375,1566566342.938,0.3278112449799197,63.47107438016529
32,1566566343.0,1566566358.562,0.4036144578313254,57.91183294663573
33,1566566358.625,1566566374.188,0.41566265060240964,57.116704805491985
34,1566566374.25,1566566389.812,0.3526104417670683,61.53846153846154
35,1566566389.875,1566566405.438,0.23529411764705882,71.89427312775331
36,1566566405.5,1566566421.062,0.4014629948364888,58.056155507559396
37,1566566421.125,1566566436.688,0.9999999999999998,34.285714285714285
